ts,open,high,low,close,volume
1904-02-01,6.5,6.5,6.5,6.5,0.0
1904-03-01,6.48,6.48,6.48,6.48,0.0
1904-04-01,6.64,6.64,6.64,6.64,0.0
1904-05-01,6.5,6.5,6.5,6.5,0.0
1904-06-01,6.51,6.51,6.51,6.51,0.0
1904-07-01,6.78,6.78,6.78,6.78,0.0
1904-08-01,7.01,7.01,7.01,7.01,0.0
1904-09-01,7.32,7.32,7.32,7.32,0.0
1904-10-01,7.75,7.75,7.75,7.75,0.0
1904-11-01,8.17,8.17,8.17,8.17,0.0
1904-12-01,8.25,8.25,8.25,8.25,0.0
1905-01-01,8.43,8.43,8.43,8.43,0.0
1905-02-01,8.8,8.8,8.8,8.8,0.0
1905-03-01,9.05,9.05,9.05,9.05,0.0
1905-04-01,8.94,8.94,8.94,8.94,0.0
1905-05-01,8.5,8.5,8.5,8.5,0.0
1905-06-01,8.6,8.6,8.6,8.6,0.0
1905-07-01,8.87,8.87,8.87,8.87,0.0
1905-08-01,9.2,9.2,9.2,9.2,0.0
1905-09-01,9.23,9.23,9.23,9.23,0.0
1905-10-01,9.36,9.36,9.36,9.36,0.0
1905-11-01,9.31,9.31,9.31,9.31,0.0
1905-12-01,9.54,9.54,9.54,9.54,0.0
1906-01-01,9.87,9.87,9.87,9.87,0.0
1906-02-01,9.8,9.8,9.8,9.8,0.0
1906-03-01,9.56,9.56,9.56,9.56,0.0
1906-04-01,9.43,9.43,9.43,9.43,0.0
1906-05-01,9.18,9.18,9.18,9.18,0.0
1906-06-01,9.3,9.3,9.3,9.3,0.0
1906-07-01,9.06,9.06,9.06,9.06,0.0
1906-08-01,9.73,9.73,9.73,9.73,0.0
1906-09-01,10.03,10.03,10.03,10.03,0.0
1906-10-01,9.73,9.73,9.73,9.73,0.0
1906-11-01,9.93,9.93,9.93,9.93,0.0
1906-12-01,9.84,9.84,9.84,9.84,0.0
1907-01-01,9.56,9.56,9.56,9.56,0.0
1907-02-01,9.26,9.26,9.26,9.26,0.0
